Epoch 01119 | Loss 0.8838 | Accuracy 0.7400 
Epoch 01129 | Loss 0.8611 | Accuracy 0.8200 
Epoch 01139 | Loss 0.8510 | Accuracy 0.7800 
Epoch 01149 | Loss 0.8431 | Accuracy 0.8267 
Epoch 01159 | Loss 0.8554 | Accuracy 0.7933 
Epoch 01169 | Loss 0.8102 | Accuracy 0.7467 
Epoch 01179 | Loss 0.8330 | Accuracy 0.7800 
Epoch 01189 | Loss 0.8261 | Accuracy 0.7733 
Epoch 01199 | Loss 0.8538 | Accuracy 0.7800 
Epoch 01209 | Loss 0.8081 | Accuracy 0.7933 
Epoch 01219 | Loss 0.9236 | Accuracy 0.7333 
Epoch 01229 | Loss 0.8544 | Accuracy 0.7600 
Epoch 01239 | Loss 0.8128 | Accuracy 0.7933 
Epoch 01249 | Loss 0.8185 | Accuracy 0.7467 
Epoch 01259 | Loss 0.9447 | Accuracy 0.7600 
Epoch 01269 | Loss 0.8076 | Accuracy 0.7733 
Epoch 01279 | Loss 0.8570 | Accuracy 0.7467 
Epoch 01289 | Loss 0.8395 | Accuracy 0.7467 
Epoch 01299 | Loss 0.8351 | Accuracy 0.8200 
Epoch 01309 | Loss 0.8075 | Accuracy 0.8200 
Epoch 01319 | Loss 0.8321 | Accuracy 0.7733 
Epoch 01329 | Loss 0.8057 | Accuracy 0.6667 
Epoch 01339 | Loss 0.8842 | Accuracy 0.7333 
Epoch 01349 | Loss 0.8235 | Accuracy 0.7867 
Epoch 01359 | Loss 0.9355 | Accuracy 0.7267 
Epoch 01369 | Loss 0.8239 | Accuracy 0.7733 
Epoch 01379 | Loss 0.8594 | Accuracy 0.7933 
Epoch 01389 | Loss 0.8084 | Accuracy 0.8000 
Epoch 01399 | Loss 0.7902 | Accuracy 0.7467 
Epoch 01409 | Loss 0.8087 | Accuracy 0.8000 
Epoch 01419 | Loss 0.7982 | Accuracy 0.8200 
Epoch 01429 | Loss 0.8446 | Accuracy 0.7467 
Epoch 01439 | Loss 0.8270 | Accuracy 0.8133 
Epoch 01449 | Loss 0.8915 | Accuracy 0.7267 
Epoch 01459 | Loss 0.8971 | Accuracy 0.7933 
Epoch 01469 | Loss 0.8570 | Accuracy 0.8400 
Epoch 01479 | Loss 0.8752 | Accuracy 0.7467 
Epoch 01489 | Loss 0.8206 | Accuracy 0.8267 
Epoch 01499 | Loss 0.8043 | Accuracy 0.8200 
Epoch 01509 | Loss 0.8504 | Accuracy 0.7867 
Epoch 01519 | Loss 0.8689 | Accuracy 0.7200 
Epoch 01529 | Loss 0.7989 | Accuracy 0.8267 
Epoch 01539 | Loss 0.8289 | Accuracy 0.8000 
Epoch 01549 | Loss 0.7417 | Accuracy 0.7400 
Epoch 01559 | Loss 0.8933 | Accuracy 0.7800 
Epoch 01569 | Loss 0.9042 | Accuracy 0.7867 
Epoch 01579 | Loss 0.8442 | Accuracy 0.7600 
Epoch 01589 | Loss 0.9241 | Accuracy 0.7800 
Epoch 01599 | Loss 0.7911 | Accuracy 0.7600 
Epoch 01609 | Loss 0.7805 | Accuracy 0.7600 
Epoch 01619 | Loss 0.8097 | Accuracy 0.7333 
Epoch 01629 | Loss 0.6755 | Accuracy 0.8400 
Epoch 01639 | Loss 0.7327 | Accuracy 0.8067 
Epoch 01649 | Loss 0.7396 | Accuracy 0.7933 
Epoch 01659 | Loss 0.7760 | Accuracy 0.7933 
Epoch 01669 | Loss 1.0120 | Accuracy 0.7333 
Epoch 01679 | Loss 0.7924 | Accuracy 0.7733 
Epoch 01689 | Loss 0.7956 | Accuracy 0.8533 
Epoch 01699 | Loss 0.8488 | Accuracy 0.7867 
Epoch 01709 | Loss 1.0089 | Accuracy 0.7467 
Epoch 01719 | Loss 0.7427 | Accuracy 0.8467 
Epoch 01729 | Loss 0.8041 | Accuracy 0.7333 
Epoch 01739 | Loss 0.7542 | Accuracy 0.7867 
Epoch 01749 | Loss 0.8024 | Accuracy 0.7933 
Epoch 01759 | Loss 0.8203 | Accuracy 0.8000 
Epoch 01769 | Loss 0.7357 | Accuracy 0.8133 
Epoch 01779 | Loss 0.7826 | Accuracy 0.7533 
Epoch 01789 | Loss 0.8211 | Accuracy 0.7600 
Epoch 01799 | Loss 0.7877 | Accuracy 0.8067 
Epoch 01809 | Loss 0.7177 | Accuracy 0.7400 
Epoch 01819 | Loss 0.7294 | Accuracy 0.7800 
Epoch 01829 | Loss 0.7683 | Accuracy 0.8467 
Epoch 01839 | Loss 0.8188 | Accuracy 0.7667 
Epoch 01849 | Loss 0.7536 | Accuracy 0.8067 
Epoch 01859 | Loss 0.8462 | Accuracy 0.7800 
Epoch 01869 | Loss 0.7785 | Accuracy 0.7933 
Epoch 01879 | Loss 0.7584 | Accuracy 0.8667 
Epoch 01889 | Loss 0.7934 | Accuracy 0.8067 
Epoch 01899 | Loss 0.7624 | Accuracy 0.7667 
Epoch 01909 | Loss 0.8070 | Accuracy 0.7733 
Epoch 01919 | Loss 0.7196 | Accuracy 0.8067 
Epoch 01929 | Loss 0.7163 | Accuracy 0.7600 
Epoch 01939 | Loss 0.7384 | Accuracy 0.8067 
Epoch 01949 | Loss 0.7217 | Accuracy 0.7933 
Epoch 01959 | Loss 0.7404 | Accuracy 0.8000 
Epoch 01969 | Loss 0.7526 | Accuracy 0.8133 
Epoch 01979 | Loss 0.8081 | Accuracy 0.7867 
Epoch 01989 | Loss 0.7586 | Accuracy 0.8133 
Epoch 01999 | Loss 0.7449 | Accuracy 0.7667 
Test accuracy 0.7833
